sim_time_s,cube_world_x,cube_world_y,cube_world_z,cube_quat_w,cube_quat_x,cube_quat_y,cube_quat_z,cube_linvel_x,cube_linvel_y,cube_linvel_z,cube_angvel_x,cube_angvel_y,cube_angvel_z,endpoint_world_x,endpoint_world_y,endpoint_world_z,endpoint_linvel_x,endpoint_linvel_y,endpoint_linvel_z,target_cube_world_x,target_cube_world_y,target_cube_world_z,gripper_actual_pos_rad_gp_leftgearjoint,gripper_actual_vel_rad_s_gp_leftgearjoint,gripper_actual_pos_rad_gp_rotatingjoint,gripper_actual_vel_rad_s_gp_rotatingjoint,motor_angle_rad_joint1,motor_angle_rad_joint2,motor_angle_rad_joint3,motor_angle_rad_joint4,motor_speed_rad_s_joint1,motor_speed_rad_s_joint2,motor_speed_rad_s_joint3,motor_speed_rad_s_joint4
0.0,0.32689693570137024,-0.7311390042304993,0.41999998688697815,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42540442943573e-06,-0.005000244826078415,1.313499927520752,0.0,0.0,0.0,-0.3507710099220276,-0.7437723875045776,0.42000001668930054,-1.5707999467849731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016666666666666666,0.3268968164920807,-0.7311393022537231,0.41999998688697815,1.0,3.2799914606584935e-06,-8.339814598912199e-07,8.465387679734704e-08,-1.9833554688375443e-05,0.00017983050202019513,-6.133061833679676e-05,0.0009432226070202887,-0.004689437802881002,-0.0003198152990080416,0.007455348968505859,-0.01359487883746624,1.3154828548431396,0.8413220643997192,-1.0026427507400513,0.1279175877571106,-0.3507710099220276,-0.7437723875045776,0.42000001668930054,-1.5300711393356323,3.0000007152557373,0.045872628688812256,2.999999523162842,-0.0008952805073931813,-0.0008203917532227933,-0.000732936430722475,-0.0006305512506514788,-0.11110083758831024,-0.09779313951730728,-0.0836346223950386,-0.06859646737575531
0.03333333333333333,0.32689669728279114,-0.7311393618583679,0.4200000464916229,1.0,3.390885240150965e-06,-2.1324319732229924e-06,-3.711133800265998e-08,0.00026357753085903823,0.00026937859365716577,-0.00010509602725505829,-0.0017706351354718208,0.004130707122385502,-0.00013548039714805782,0.02962695062160492,-0.03465980291366577,1.314805507659912,1.7520341873168945,-1.4272652864456177,-0.188332200050354,-0.3507710099220276,-0.7437723875045776,0.42000001668930054,-1.489814043045044,1.8933464288711548,0.09591249376535416,3.000000476837158,-0.00327580189332366,-0.0029281529132276773,-0.002542502712458372,-0.0021159732714295387,-0.18708057701587677,-0.16226735711097717,-0.13595391809940338,-0.1080770343542099
0.05,0.32689666748046875,-0.7311393022537231,0.4200000464916229,1.0,3.7652134778909385e-06,-2.2118977085483493e-06,5.605784725304375e-09,0.0002653079864103347,0.00026691483799368143,-0.00010440615005791187,-0.0017242918256670237,0.0041773696430027485,-0.00012949654774274677,0.0626264289021492,-0.06194641813635826,1.3076608180999756,2.2427802085876465,-1.699852705001831,-0.6551798582077026,-0.3507710099220276,-0.7437723875045776,0.42000001668930054,-1.4664860963821411,0.9657100439071655,0.1459513157606125,3.0000016689300537,-0.0065359617583453655,-0.005688652861863375,-0.004768062382936478,-0.0037706298753619194,-0.2089299112558365,-0.16934475302696228,-0.12776948511600494,-0.08413610607385635
0.06666666666666667,0.32689666748046875,-0.7311393618583679,0.4200000464916229,0.9999999403953552,3.4068298191414215e-06,-2.28560702453251e-06,4.300801776935259e-07,0.00026702682953327894,0.0002679186000023037,-0.00010437914170324802,-0.0017406968399882317,0.004211870953440666,-0.00012850748316850513,0.10033702850341797,-0.09722432494163513,1.2927072048187256,2.3733386993408203,-2.2926182746887207,-1.1179314851760864,-0.3507710099220276,-0.7437723875045776,0.42000001668930054,-1.4346048831939697,2.6829581260681152,0.19598889350891113,3.0000011920928955,-0.009321299381554127,-0.007740307133644819,-0.006044614594429731,-0.004230442922562361,-0.15707701444625854,-0.10417181253433228,-0.049040794372558594,0.008390157483518124
0.08333333333333333,0.32689666748046875,-0.7311393618583679,0.4200000464916229,0.9999999403953552,3.6261494642531034e-06,-2.3353520646196557e-06,3.03220957675876e-07,0.00026613869704306126,0.00026685185730457306,-0.00010405178181827068,-0.001728373346850276,0.0041963220573961735,-0.0001279099815292284,0.1367192417383194,-0.14276927709579468,1.270744800567627,2.031224250793457,-3.037433624267578,-1.5293734073638916,-0.3507710099220276,-0.7437723875045776,0.42000001668930054,-1.3853641748428345,3.000000476837158,0.24602484703063965,3.000002861022949,-0.011108658276498318,-0.008482727222144604,-0.005697709042578936,-0.0027503520250320435,-0.06918647140264511,0.0032252701930701733,0.07799964398145676,0.15510784089565277
0.1,0.32689666748046875,-0.7311393618583679,0.4200000464916229,1.0,3.422180270717945e-06,-2.3086204237188213e-06,1.7963316167879384e-07,0.0002668162633199245,0.00026800515479408205,-0.00010440475307404995,-0.001743071130476892,0.0042070611380040646,-0.00012891352525912225,0.1701393723487854,-0.19476661086082458,1.2394130229949951,1.8429689407348633,-3.370779514312744,-2.1594011783599854,-0.3507710099220276,-0.7437723875045776,0.42000001668930054,-1.335351586341858,3.0000014305114746,0.29605889320373535,2.9999988079071045,-0.005810756701976061,-0.0024303197860717773,0.0011650433298200369,0.0049818516708910465,0.4654017686843872,0.5074453353881836,0.5523461103439331,0.600378692150116
0.11666666666666667,0.32689666748046875,-0.7311393022537231,0.4200000464916229,1.0,3.7115075883775717e-06,-2.3327127109951107e-06,2.5744481035872013e-07,0.00026485862326808274,0.0002663535997271538,-0.00010423525236546993,-0.0017182156443595886,0.004170025233179331,-0.00012915159459225833,0.19500592350959778,-0.25515344738960266,1.2006466388702393,1.1638258695602417,-3.9190237522125244,-2.538166046142578,-0.3507710099220276,-0.7437723875045776,0.42000001668930054,-1.2853447198867798,2.999999523162842,0.34609025716781616,2.9999992847442627,-0.0010962346568703651,0.0035203713923692703,0.008361299522221088,0.013436299748718739,0.2477562576532364,0.3314090669155121,0.41452863812446594,0.4972742795944214
0.13333333333333333,0.32689666748046875,-0.7311393618583679,0.4200000464916229,1.0,3.335707560836454e-06,-2.231929784102249e-06,3.113250670594425e-07,0.00026669655926525593,0.00026759272441267967,-0.00010428344830870628,-0.0017370833083987236,0.004205867648124695,-0.00012840259296353906,0.2166973203420639,-0.31778568029403687,1.1501981019973755,1.056557059288025,-3.9346184730529785,-3.3629677295684814,-0.3507710099220276,-0.7437723875045776,0.42000001668930054,-1.235333800315857,3.000001907348633,0.39611905813217163,2.9999990463256836,0.011356420814990997,0.016425255686044693,0.02174384333193302,0.027330486103892326,0.9145767688751221,0.9268076419830322,0.9404171705245972,0.9559763073921204
0.15,0.32689666748046875,-0.7311393618583679,0.4200000464916229,1.0,3.518910716593382e-06,-2.283128196722828e-06,-3.6253297253097116e-07,0.00026618537958711386,0.0002673573326319456,-0.00010425900109112263,-0.001734911696985364,0.004195764660835266,-0.0001286038022954017,0.23118329048156738,-0.3851211667060852,1.0933771133422852,0.5619921088218689,-4.19258975982666,-3.5963540077209473,-0.3507710099220276,-0.7437723875045776,0.42000001668930054,-1.185327172279358,3.000002145767212,0.4461449682712555,3.0000030994415283,0.021281398832798004,0.027294430881738663,0.033522509038448334,0.03998691216111183,0.5342673659324646,0.5979899764060974,0.6584972739219666,0.7157893776893616
