sim_time_s,robot_box_x,robot_box_y,robot_box_z,robot_box_quat_w,robot_box_quat_x,robot_box_quat_y,robot_box_quat_z,robot_box_linvel_x,robot_box_linvel_y,robot_box_linvel_z,robot_box_angvel_x,robot_box_angvel_y,robot_box_angvel_z,cube_world_x,cube_world_y,cube_world_z,cube_quat_w,cube_quat_x,cube_quat_y,cube_quat_z,cube_linvel_x,cube_linvel_y,cube_linvel_z,cube_angvel_x,cube_angvel_y,cube_angvel_z,endpoint_world_x,endpoint_world_y,endpoint_world_z,endpoint_linvel_x,endpoint_linvel_y,endpoint_linvel_z,target_cube_world_x,target_cube_world_y,target_cube_world_z,gripper_actual_pos_rad_gp_leftgearjoint,gripper_actual_vel_rad_s_gp_leftgearjoint,gripper_actual_pos_rad_gp_rotatingjoint,gripper_actual_vel_rad_s_gp_rotatingjoint,motor_angle_rad_joint1,motor_angle_rad_joint2,motor_angle_rad_joint3,motor_angle_rad_joint4,motor_speed_rad_s_joint1,motor_speed_rad_s_joint2,motor_speed_rad_s_joint3,motor_speed_rad_s_joint4
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3705136179924011,0.6629893183708191,0.41999998688697815,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42540442943573e-06,-0.005000244826078415,1.313499927520752,0.0,0.0,0.0,0.4022502601146698,0.7069323062896729,0.42000001668930054,-1.5707999467849731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016666666666666666,0.0028805683832615614,0.0021775702480226755,0.0,0.9998143315315247,0.0,0.0,0.019267702475190163,0.24095043540000916,0.18229667842388153,0.0,0.0,0.0,3.1418087482452393,-0.3705137372016907,0.6629890203475952,0.41999998688697815,1.0,3.279964630564791e-06,-8.339746386809566e-07,8.465587342243452e-08,-1.9833529222523794e-05,0.00017983045836444944,-6.132945418357849e-05,0.0009432713268324733,-0.004689474124461412,-0.00031981561915017664,-0.00710928812623024,0.003387636039406061,1.3159379959106445,-0.8140578269958496,0.9871779680252075,0.1809595674276352,0.4022502601146698,0.7069323062896729,0.42000001668930054,-1.5301094055175781,3.00000262260437,-0.04584868997335434,-3.000000476837158,0.0008700665784999728,0.0007967209094204009,0.0007112870807759464,0.0006111411494202912,0.11094781756401062,0.09758599102497101,0.08336274325847626,0.0682574138045311
0.03333333333333333,0.008964166045188904,0.006797070149332285,0.0,0.9998024106025696,0.0,0.0,0.01987767405807972,0.4070535898208618,0.3152042031288147,0.0,0.0,0.0,-0.8690893650054932,-0.3705138564109802,0.6629889607429504,0.4200000464916229,1.0,3.3908354453160428e-06,-2.1324485715012997e-06,-3.710144014235084e-08,0.00026357831666246057,0.00026937946677207947,-0.00010509486310184002,-0.0017707672668620944,0.004130808170884848,-0.000135478752781637,-0.02753780223429203,0.026162035763263702,1.316605567932129,-1.5905258655548096,1.6168859004974365,-0.08390697091817856,0.4022502601146698,0.7069323062896729,0.42000001668930054,-1.4800902605056763,3.0000014305114746,-0.09588852524757385,-3.0000016689300537,0.0029904136899858713,0.0026527082081884146,0.0022772676311433315,0.0018607656238600612,0.16417695581912994,0.1397351622581482,0.11379814147949219,0.08628221601247787
0.05,0.01847289875149727,0.013894898816943169,0.0,0.9999759197235107,0.0,0.0,-0.006941183470189571,0.6362062692642212,0.4721669852733612,0.0,0.0,0.0,-4.0743608474731445,-0.3705138862133026,0.6629890203475952,0.4200000464916229,1.0,3.7651125239790417e-06,-2.211879063906963e-06,5.622505128144439e-09,0.000265308452071622,0.0002669153327587992,-0.00010440615005791187,-0.001724260626360774,0.004177352879196405,-0.00012949221127200872,-0.05719546973705292,0.05709519237279892,1.3120050430297852,-1.9535926580429077,2.0257275104522705,-0.448781818151474,0.4022502601146698,0.7069323062896729,0.42000001668930054,-1.4300719499588013,3.0000016689300537,-0.1459229290485382,-2.9999992847442627,0.006012044847011566,0.005173057783395052,0.004261741414666176,0.003273778362199664,0.20709623396396637,0.16677427291870117,0.12452761828899384,0.08028064668178558
0.06666666666666667,0.03077976405620575,0.02337988093495369,0.0,0.9998813271522522,0.0,0.0,-0.015404876321554184,0.77241450548172,0.6159707307815552,0.0,0.0,0.0,-0.03957148268818855,-0.3705138862133026,0.6629889607429504,0.4200000464916229,0.9999999403953552,3.4066883927152958e-06,-2.285532218593289e-06,4.300976286231162e-07,0.0002670241810847074,0.00026791772688739,-0.00010438147000968456,-0.00174069800414145,0.00421178387477994,-0.00012850729399360716,-0.09457901120185852,0.08984319865703583,1.301238775253296,-2.383443832397461,2.0749258995056152,-0.8328201174736023,0.4022502601146698,0.7069323062896729,0.42000001668930054,-1.3800443410873413,2.999997615814209,-0.13077601790428162,3.0000009536743164,0.008728819899260998,0.007178476545959711,0.00551556795835495,0.0037349266931414604,0.15088732540607452,0.10079267621040344,0.04855971038341522,-0.005878767929971218
0.08333333333333333,0.04532401263713837,0.03185452148318291,0.0,0.999272882938385,0.0,0.0,-0.03812728449702263,0.9520599246025085,0.4413362145423889,0.0,0.0,0.0,-3.5461509227752686,-0.3705138862133026,0.6629889607429504,0.4200000464916229,0.9999999403953552,3.626031229941873e-06,-2.3352447442448465e-06,3.032197639640799e-07,0.0002661392209120095,0.0002668500819709152,-0.00010405294597148895,-0.0017282416811212897,0.00419628107920289,-0.00012790791515726596,-0.129119411110878,0.12893034517765045,1.2869231700897217,-1.8082513809204102,2.601238250732422,-0.8700152635574341,0.4022502601146698,0.7069323062896729,0.42000001668930054,-1.3300367593765259,2.9999988079071045,-0.1626943200826645,-3.000000476837158,0.009677468799054623,0.0069957636296749115,0.004158948548138142,0.001161651685833931,0.011033119633793831,-0.0757332518696785,-0.16479723155498505,-0.2560669779777527
0.1,0.054226119071245193,0.04256126284599304,0.0,0.9958943128585815,0.0,0.0,-0.09052374958992004,0.3947121202945709,0.7244724035263062,0.0,0.0,0.0,-7.2985029220581055,-0.3705138862133026,0.6629889607429504,0.4200000464916229,1.0,3.4220790894323727e-06,-2.3084901386027923e-06,1.7962952369998675e-07,0.00026681559393182397,0.0002680041070561856,-0.00010440824553370476,-0.001743067754432559,0.004207110498100519,-0.0001289140636799857,-0.16059118509292603,0.17513710260391235,1.2676209211349487,-1.9188764095306396,2.936659574508667,-1.3633012771606445,0.4022502601146698,0.7069323062896729,0.42000001668930054,-1.2800180912017822,2.999995231628418,-0.12910246849060059,3.0000011920928955,0.003339956281706691,-0.000175598674104549,-0.0038998995441943407,-0.007841203361749649,-0.49966973066329956,-0.5412575602531433,-0.5854254364967346,-0.6324318051338196
0.11666666666666667,0.05772696062922478,0.055363692343235016,0.0,0.9924007654190063,0.0,0.0,-0.12304762005805969,0.21036919951438904,0.7124571800231934,0.0,0.0,0.0,-2.653463840484619,-0.3705138862133026,0.6629890203475952,0.4200000464916229,1.0,3.7115073610038962e-06,-2.3326228983933106e-06,2.57426904681779e-07,0.00026485775015316904,0.0002663534542080015,-0.00010423525236546993,-0.0017181745497509837,0.004170077387243509,-0.0001291574299102649,-0.1986362636089325,0.21798014640808105,1.2432000637054443,-2.3395206928253174,2.630484104156494,-1.5122178792953491,0.4022502601146698,0.7069323062896729,0.42000001668930054,-1.2300238609313965,3.000000238418579,-0.16099171340465546,-3.0000011920928955,-0.005116014741361141,-0.009543090127408504,-0.01418636180460453,-0.019057732075452805,-0.38794970512390137,-0.4644083082675934,-0.5391343235969543,-0.6122194528579712
0.13333333333333333,0.0701768547296524,0.06372693181037903,0.0,0.986110508441925,0.0,0.0,-0.16609051823616028,0.8409829139709473,0.52357417345047,0.0,0.0,0.0,-5.884102821350098,-0.3705138862133026,0.6629889607429504,0.4200000464916229,0.9999999403953552,3.4247434541612165e-06,-2.301918129887781e-06,1.559943285656118e-07,0.00026707028155215085,0.0002681135665625334,-0.00010444503277540207,-0.0017433665925636888,0.0042120604775846004,-0.00012877194967586547,-0.23346306383609772,0.2694733440876007,1.216414213180542,-1.8310855627059937,3.5832631587982178,-1.8025184869766235,0.4022502601146698,0.7069323062896729,0.42000001668930054,-1.1800050735473633,2.9999330043792725,-0.16565878689289093,2.0122506618499756,-0.0042754048481583595,-0.010943613015115261,-0.017739372327923775,-0.02467072196304798,-0.05888327956199646,-0.17923355102539062,-0.2950515151023865,-0.4061344265937805
0.15,0.07906025648117065,0.07055086642503738,0.0,0.9822097420692444,0.0,0.0,-0.18778711557388306,0.4724658727645874,0.3418589234352112,0.0,0.0,0.0,-1.4970251321792603,-0.3705138862133026,0.6629889607429504,0.4200000464916229,1.0,3.713894102475024e-06,-2.207782927143853e-06,-1.690906259455005e-07,0.000263532972894609,0.0002653604024089873,-0.00010421779006719589,-0.0017012703465297818,0.004144108854234219,-0.00012960596359334886,-0.2687196731567383,0.32404041290283203,1.1791355609893799,-2.0505290031433105,3.3952689170837402,-2.5857882499694824,0.4022502601146698,0.7069323062896729,0.42000001668930054,-1.1400511264801025,1.861397385597229,-0.20287173986434937,-3.0,-0.010769386775791645,-0.018554426729679108,-0.026420796290040016,-0.03437862917780876,-0.4363727271556854,-0.4878460168838501,-0.5364224314689636,-0.5823171138763428
0.16666666666666666,0.08305550366640091,0.07998565584421158,0.0,0.9754409193992615,0.0,0.0,-0.22026123106479645,0.22104887664318085,0.519504189491272,0.0,0.0,0.0,-4.572455883026123,-0.3705138862133026,0.6629889607429504,0.4200000464916229,0.9999999403953552,3.638363523350563e-06,-2.2787546640756773e-06,2.7007297376258066e-07,0.00026682831230573356,0.0002675004070624709,-0.00010410277172923088,-0.0017399663338437676,0.004210250452160835,-0.00012781910481862724,-0.30182185769081116,0.3842344284057617,1.1278722286224365,-1.8875521421432495,3.8221347332000732,-3.399655818939209,0.4022502601146698,0.7069323062896729,0.42000001668930054,-1.0919400453567505,3.0000035762786865,-0.19610963761806488,3.0,-0.021907661110162735,-0.030024763196706772,-0.038182370364665985,-0.04639913886785507,-0.5785634517669678,-0.6093067526817322,-0.6357912421226501,-0.6583175659179688
